id_cliente,situacao_cliente,idade,genero,qtde_dependentes,escolaridade,estado_civil,faixa_renda,categoria_cartao,meses_relacionamento,qtde_produtos,meses_inativo_12m,qtde_contatos_12m,limite_credito,saldo_rotativo_total,limite_disponivel_medio,mudanca_valor_transacoes_Q4_Q1,valor_total_transacoes,qtde_total_transacoes,mudanca_qtde_transacoes_Q4_Q1,taxa_utilizacao_media,faixa_etaria,anos_relacionamento,valor_medio_transacao,percentual_limite_usado,categoria_cartao_nivel,alvo_churn
768805383,Cliente Ativo,45,Masculino,3,Ensino médio,Casado(a),US$60K–US$80K,Azul,39,5,1,3,12691.0,777,11914.0,1.335,1144.0,42,1.455,0.061,35–44,3.2,27.24,6.1,1,0
818770008,Cliente Ativo,49,Feminino,5,Graduado,Solteiro(a),Menos de US$40K,Azul,44,6,1,2,8256.0,864,7392.0,1.5147399999999998,1291.0,33,1.455,0.105,45–54,3.7,39.12,10.5,1,0
713982108,Cliente Ativo,51,Masculino,3,Graduado,Casado(a),US$80K–US$120K,Azul,36,4,1,0,3418.0,0,3418.0,1.5147399999999998,1887.0,20,1.455,0.0,45–54,3.0,94.35,0.0,1,0
769911858,Cliente Ativo,40,Feminino,4,Ensino médio,Não informado,Menos de US$40K,Azul,34,3,4,1,3313.0,2517,796.0,1.405,1171.0,20,1.455,0.76,35–44,2.8,58.55,76.0,1,0
709106358,Cliente Ativo,40,Masculino,3,Sem escolaridade,Casado(a),US$60K–US$80K,Azul,21,5,1,0,4716.0,0,4716.0,1.5147399999999998,869.26,28,1.455,0.0,35–44,1.8,29.14,0.0,1,0
713061558,Cliente Ativo,44,Masculino,2,Graduado,Casado(a),US$40K–US$60K,Azul,36,3,1,2,4010.0,1247,2763.0,1.376,1088.0,24,0.846,0.311,35–44,3.0,45.33,31.1,1,0
810347208,Cliente Ativo,51,Masculino,4,Não informado,Casado(a),Mais de US$120K,Ouro,46,6,1,3,34516.0,2264,32252.0,1.5147399999999998,1330.0,31,0.722,0.066,45–54,3.8,42.9,6.6,3,0
818906208,Cliente Ativo,32,Masculino,0,Ensino médio,Não informado,US$60K–US$80K,Prata,27,2,2,2,29081.0,1396,27685.0,1.5147399999999998,1538.0,36,0.714,0.048,26–34,2.2,42.72,4.8,2,0
710930508,Cliente Ativo,37,Masculino,3,Sem escolaridade,Solteiro(a),US$60K–US$80K,Azul,36,5,2,0,22352.0,2517,19835.0,1.5147399999999998,1350.0,24,1.182,0.113,35–44,3.0,56.25,11.3,1,0
719661558,Cliente Ativo,48,Masculino,2,Graduado,Solteiro(a),US$80K–US$120K,Azul,36,6,3,3,11656.0,1677,9979.0,1.5147399999999998,1441.0,32,0.882,0.144,45–54,3.0,45.03,14.4,1,0
